,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
69,,House,Apartment,610000,Yes,8,299,0,0,None,1,None,None,None,2,None,To be done up
70,,House,Apartment,755000,Yes,4,320,0,0,None,,None,None,None,3,None,To renovate
71,,House,Apartment,1220000,Yes,6,560,0,0,None,,None,None,None,3,None,To renovate
72,,House,Apartment,1595000,Yes,6,450,0,0,None,,None,None,None,2,None,Good
73,,House,Apartment,240000,Yes,5,240,0,0,None,1,None,None,None,2,None,
74,,House,Apartment,730000,Yes,10,325,1,,None,,None,None,None,2,None,Good
75,,House,Apartment,699000,Yes,4,256,0,0,None,1,None,None,None,2,None,To renovate
76,,,,None,,,,0,,None,,None,None,None,,None,
77,,House,Apartment,250000,Yes,,meters,0,0,None,,None,None,None,2,None,
78,,House,Apartment,300000,Yes,22,790,0,0,None,,None,None,None,4,None,To renovate
79,Omgeving Kraainem,House,Apartment,398000,Yes,3,145,0,0,None,1,None,None,None,2,None,To be done up
80,,House,Apartment,600000,Yes,,,0,0,None,,None,None,None,2,None,Good
81,,House,Apartment,625000,Yes,4,623,1,0,None,,None,None,None,,None,To be done up
82,,House,Apartment,1850000,Yes,11,600,0,0,None,,None,None,None,4,None,To restore
83,,House,Apartment,525000,Yes,8,,0,0,None,,None,None,None,2,None,To be done up
84,,House,Apartment,1380000,Yes,7,,0,0,None,,None,None,None,3,None,As new
85,Bruxelles (19 communes),House,Apartment,1350000,Yes,23,750,0,0,None,,None,None,None,2,None,To renovate
86,urbain,House,Apartment,185000,Yes,2,165,0,0,None,,None,None,None,2,None,Good
87,Liège,House,Apartment,185000,Yes,3,130,0,0,None,,None,None,None,2,None,To renovate
88,,House,Apartment,200000,Yes,2,152,0,0,None,,None,None,None,2,None,To renovate
89,urbain,House,Apartment,225000,Yes,3,140,0,0,None,,None,None,None,2,None,
90,,House,Apartment,249000,Yes,3,241,0,0,None,,None,None,None,4,None,Good
91,,House,Apartment,275000,Yes,2,175,0,0,None,,None,None,None,2,None,Just renovated
92,Huy 3 km autour,House,Apartment,380000,Yes,5,180,0,0,None,,None,None,None,2,None,Good
93,,House,Apartment,409000,Yes,4,205,0,0,None,,None,None,None,2,None,To renovate
94,,House,Apartment,529000,Yes,5,260,1,0,None,,None,None,None,2,None,Good
95,,House,Apartment,715000,Yes,7,322,0,0,None,,None,None,None,2,None,To renovate
96,Bruxelles SUD,House,Apartment,725000,Yes,4,300,0,0,None,1,None,None,None,2,None,Good
97,,House,Apartment,850000,Yes,7,450,0,0,None,,None,None,None,2,None,To renovate
98,,House,Apartment,1085000,Yes,5,310,0,0,None,1,None,None,None,2,None,Good
99,,House,Apartment,1090000,Yes,4,423,0,0,None,,None,None,None,2,None,Good
100,,House,Apartment,1090000,Yes,4,423,0,0,None,,None,None,None,2,None,Good
101,,House,Apartment,1150000,Yes,6,350,1,0,None,,None,None,None,2,None,Good
102,,House,Apartment,1295000,Yes,7,360,0,0,None,1,None,None,None,2,None,Good
103,,House,Apartment,1499000,Yes,10,470,0,0,None,,None,None,None,2,None,To renovate
104,,House,Apartment,249000,Yes,2,147,1,0,None,,None,None,None,3,None,Good
105,,House,Apartment,475000,Yes,8,321,0,0,None,1,None,None,None,2,None,To renovate
106,"Auderghem, Watermael-Boitsfort",House,Apartment,490000,Yes,4,145,0,0,None,,None,None,None,3,None,Good
107,,House,Apartment,520000,Yes,5,320,0,0,None,,None,None,None,2,None,
108,,House,Apartment,2375000,Yes,6,950,0,0,None,,None,None,None,2,None,As new
109,,House,Apartment,795000,Yes,8,408,0,0,None,,None,None,None,2,None,To be done up
110,Bruxelles (19 communes),House,Apartment,750000,Yes,13,500,0,0,None,1,None,None,None,2,None,To renovate
111,,House,Apartment,160000,Yes,3,133,1,0,None,,None,None,None,2,None,To renovate
112,,House,Apartment,290000,Yes,4,145,0,0,None,,None,None,None,2,None,To be done up
113,urbain,House,Apartment,299000,Yes,7,232,0,0,None,,None,None,None,2,None,
