,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
84,,House,Other,350000,No,,,0,,None,,None,None,None,4,None,
85,,House,Other,380000,No,,,0,,None,,None,None,None,,None,
86,,House,Other,150000,No,5,2000,0,0,None,,None,None,None,4,None,To renovate
87,,House,Other,263150,No,,,0,,None,,None,None,None,,None,As new
88,,House,Other,155000,No,1,96,0,,None,,None,None,None,4,None,Just renovated
89,,House,Other,161224,Yes,13,,0,1,None,,None,None,None,4,None,As new
90,,House,Other,192088,Yes,13,,0,1,None,,None,None,None,4,None,As new
91,,House,Other,359000,No,3,,0,,None,,None,None,None,,None,
92,,House,Other,146825,Yes,42,,0,1,None,,None,None,None,4,None,
93,,House,Other,260000,No,3,,0,0,None,,None,None,None,4,None,
94,,House,Other,120000,No,,,0,,None,,None,None,None,4,None,To renovate
95,,House,Other,949000,Yes,10,,0,0,None,,None,None,None,,None,
96,,,,None,,,,0,,None,,None,None,None,,None,
97,,House,Other,59900,No,,,0,,None,,None,None,None,4,None,To renovate
98,,House,Other,180000,Yes,5,,0,,None,,None,None,None,,None,As new
99,,House,Other,270000,No,4,,0,,None,,None,None,None,,None,
100,,House,Other,145000,No,3,,0,,None,,None,None,None,,None,
