,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
73,,House,Duplex,279000,No,2,None,0,0,None,,None,None,None,2,None,To renovate
74,,House,Duplex,299000,No,3,None,0,0,None,,None,None,None,2,None,As new
75,,House,Duplex,319000,No,3,None,0,0,None,,None,None,None,2,None,As new
76,,House,Duplex,325000,No,3,None,0,0,None,,None,None,None,2,None,As new
77,Les Woluwes,House,Duplex,420000,No,3,None,0,0,None,,None,None,None,,None,As new
78,,House,Duplex,425000,No,2,None,0,0,None,,None,None,None,,None,As new
79,Pagodes,House,Duplex,475000,No,3,None,0,0,None,,None,None,None,3,None,As new
80,,House,Duplex,650000,No,2,None,0,1,None,,None,None,None,,None,As new
81,,House,Duplex,655000,No,4,None,0,0,None,,None,None,None,2,None,As new
82,Bruxelles (19 communes),House,Duplex,1650000,No,3,None,0,0,None,,None,None,None,2,None,To be done up
83,,House,Duplex,199000,No,3,None,0,0,None,,None,None,None,3,None,As new
84,,,,None,,,None,0,,None,,None,None,None,,None,
85,,House,Duplex,560000,No,1,None,0,0,None,,None,None,None,2,None,To be done up
86,Bruxelles,House,Duplex,295000,No,2,None,0,0,None,,None,None,None,3,None,As new
87,Omgeving Kraainem,House,Duplex,635000,No,3,None,0,0,None,,None,None,None,,None,As new
88,,House,Duplex,1020000,No,4,None,0,0,None,,None,None,None,2,None,As new
89,,House,Duplex,399000,No,3,None,0,0,None,,None,None,None,4,None,As new
90,,House,Duplex,165000,No,2,None,0,0,None,,None,None,None,2,None,Good
91,,House,Duplex,340000,No,2,None,0,0,None,,None,None,None,2,None,Just renovated
92,Heist,House,Duplex,750000,No,3,None,0,,None,,None,None,None,2,None,As new
93,,House,Duplex,321500,No,3,None,0,0,None,,None,None,None,2,None,As new
94,,House,Duplex,470000,No,3,None,0,0,None,,None,None,None,3,None,As new
95,,House,Duplex,150000,No,2,None,1,0,None,,None,None,None,,None,Just renovated
96,,House,Duplex,185000,No,3,None,1,0,None,,None,None,None,2,None,Good
97,,House,Duplex,199000,No,1,None,0,0,None,,None,None,None,2,None,Good
98,Bruxelles (19 communes),House,Duplex,229000,No,2,None,0,0,None,,None,None,None,2,None,To renovate
99,,House,Duplex,269000,No,3,None,1,0,None,,None,None,None,,None,Good
100,Bruxelles Sud,House,Duplex,295000,No,4,None,0,0,None,,None,None,None,2,None,To renovate
101,Bruxelles Sud + Centre,House,Duplex,325000,No,3,None,0,0,None,,None,None,None,2,None,As new
102,Bruxelles (19 communes),House,Duplex,365000,No,2,None,0,0,None,,None,None,None,2,None,To renovate
