,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
74,,House,Triplex,269000,No,4,110,1,0,None,,None,None,None,2,None,Good
75,,House,Triplex,272238,No,3,119,1,0,None,,None,None,None,4,None,
76,,House,Triplex,272391,No,3,109,1,0,None,,None,None,None,4,None,
77,,House,Triplex,310000,No,3,126,0,0,None,1,None,None,None,2,None,Good
78,,House,Triplex,303878,No,3,128,1,0,None,,None,None,None,4,None,
79,Bruxelles-CEE,House,Triplex,340000,No,2,145,1,0,None,,None,None,None,2,None,Good
80,,House,Triplex,261000,No,2,,0,1,None,,None,None,None,2,None,Just renovated
81,,House,Triplex,319000,No,3,180,0,0,None,,None,None,None,2,None,To renovate
82,,House,Triplex,299000,No,3,179,0,0,None,,None,None,None,2,None,As new
83,,House,Triplex,309000,No,3,179,0,0,None,,None,None,None,2,None,As new
84,QUIEVRAIN -HENSIES-DOUR,House,Triplex,80000,No,2,107,0,0,None,,None,None,None,2,None,Good
85,,House,Triplex,197000,No,2,125,1,0,None,,None,None,None,2,None,As new
86,bruxelles nord - anderlecht molenbeek,House,Triplex,235000,No,3,88,1,0,None,,None,None,None,2,None,Good
87,,House,Triplex,269000,No,3,,1,0,None,1,None,None,None,2,None,Good
88,,House,Triplex,399000,No,2,150,1,0,None,,None,None,None,2,None,Good
89,Turnhout,House,Triplex,269000,No,3,,0,0,None,1,None,None,None,3,None,As new
90,,House,Triplex,295000,No,3,,1,0,None,,None,None,None,3,None,As new
91,,House,Triplex,123000,No,3,110,0,,None,,None,None,None,3,None,Good
92,,House,Triplex,386000,No,3,,0,,None,,None,None,None,,None,As new
93,,House,Triplex,145000,No,3,,0,,None,,None,None,None,,None,
94,Schoten & omgeving,House,Triplex,309000,No,3,,0,,None,1,None,None,None,2,None,Good
95,,House,Triplex,395000,No,3,153,0,0,None,1,None,None,None,2,None,
96,,House,Triplex,299000,No,4,188,0,0,None,,None,None,None,2,None,
97,,House,Triplex,219000,No,2,,1,,None,1,None,None,None,2,None,Good
98,,House,Triplex,255000,No,4,,0,,None,,None,None,None,,None,
99,,House,Triplex,280000,No,5,253,0,0,None,,None,None,None,2,None,To be done up
100,,House,Triplex,249000,No,4,,0,0,None,,None,None,None,,None,
101,,House,Triplex,259000,No,2,135,0,,None,,None,None,None,,None,
