,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
80,,House,Country,1495000,Yes,6,552,1,,None,1,None,None,None,,None,
81,,House,Country,385000,No,3,153,1,0,None,,None,None,None,4,None,Good
82,,House,Country,600000,No,3,,0,0,None,,None,None,None,,None,To renovate
83,,House,Country,1049000,No,4,365,0,,None,1,None,None,None,4,None,As new
84,,House,Country,1299000,No,4,294,0,0,None,,None,None,None,,None,As new
85,,,,None,,,,0,,None,,None,None,None,,None,
86,,House,Country,310000,No,9,765,0,0,None,,None,None,None,,None,
87,,House,Country,400000,No,2,120,0,0,None,,None,None,None,4,None,Just renovated
88,,House,Country,1100000,,4,270,0,,None,,None,None,None,4,None,Good
89,,House,Country,Starting price : 280000,No,3,237,0,,None,,None,None,None,4,None,
90,,House,Country,420000,No,4,269,1,0,None,1,None,None,None,4,None,
91,,House,Country,595000,No,4,200,1,0,None,,None,None,None,4,None,Just renovated
92,,House,Country,169500,No,4,,0,,None,1,None,None,None,,None,To renovate
93,,House,Country,1845000,,4,391,1,,None,,None,None,None,4,None,Just renovated
94,,House,Country,290000,No,4,600,0,,None,,None,None,None,3,None,To renovate
95,,House,Country,300000,No,4,235,0,0,None,,None,None,None,4,None,
96,,,,None,,,,0,,None,,None,None,None,,None,
97,,House,Country,199000,No,2,185,0,,None,,None,None,None,,None,
98,,House,Country,380000,No,3,,0,,None,,None,None,None,,None,To renovate
99,,House,Country,345000,No,2,233,0,0,None,,None,None,None,4,None,To renovate
100,,House,Country,532000,No,3,187,0,0,None,,None,None,None,4,None,To renovate
101,,House,Country,475000,No,4,204,1,0,None,,None,None,None,3,None,
102,,House,Country,1495000,No,4,850,0,,None,,None,None,None,4,None,To renovate
103,,House,Country,225000,No,4,150,1,0,None,,None,None,None,3,None,
104,,House,Country,469000,No,5,,0,,None,1,None,None,None,4,None,
105,,House,Country,Starting price : 625000,No,9,,0,,None,,None,None,None,,None,
106,,House,Country,189000,,2,,0,0,None,,None,None,None,3,None,To renovate
107,,House,Country,490000,No,3,,0,0,None,,None,None,None,4,None,
108,,House,Country,550000,No,3,,0,,None,,None,None,None,4,None,
109,,House,Country,180000,No,2,100,0,0,None,,None,None,None,4,None,To renovate
110,,House,Country,180000,No,2,100,0,0,None,,None,None,None,4,None,To renovate
111,Hannut et 5 kms,House,Country,340000,No,5,230,0,0,None,,None,None,None,4,None,Good
112,,House,Country,359000,No,6,396,1,0,None,,None,None,None,4,None,To be done up
113,,House,Country,275000,No,4,271,0,0,None,1,None,None,None,4,None,Good
114,,House,Country,390000,No,1,106,0,0,None,,None,None,None,4,None,To renovate
115,,House,Country,449000,No,4,312,1,0,None,,None,None,None,3,None,As new
116,Brabant Flamand,House,Country,395000,No,2,270,1,0,None,1,None,None,None,4,None,Good
117,,House,Country,680000,No,3,315,0,0,None,,None,None,None,4,None,As new
118,,House,Country,529000,No,3,200,0,0,None,,None,None,None,4,None,As new
119,,House,Country,1195000,No,4,260,0,0,None,,None,None,None,4,None,Good
120,,House,Country,239000,No,1,170,0,0,None,,None,None,None,4,None,To restore
121,,House,Country,259000,No,2,161,0,0,None,1,None,None,None,3,None,Just renovated
