,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
73,,House,Exceptional,1775000,No,8,270,0,0,None,1,None,None,None,3,None,As new
74,,House,Exceptional,745000,No,6,291,0,0,None,,None,None,None,,None,As new
75,Knokke-Heist,House,Exceptional,5850000,No,6,305,0,0,None,1,None,None,None,4,None,Good
76,,House,Exceptional,698000,No,4,400,0,0,None,,None,None,None,4,None,Just renovated
77,,House,Exceptional,820000,No,3,397,0,,None,1,None,None,None,4,None,As new
78,,House,Exceptional,4950000,No,6,728,0,0,None,,None,None,None,4,None,Good
79,,House,Exceptional,555000,No,4,250,0,0,None,1,None,None,None,2,None,To be done up
80,Aalst,House,Exceptional,325000,No,3,208,0,0,None,,None,None,None,2,None,
81,,House,Exceptional,695000,No,8,503,0,,None,,None,None,None,4,None,Good
82,,House,Exceptional,1185000,No,4,502,0,0,None,,None,None,None,4,None,As new
83,,House,Exceptional,1185000,No,4,502,0,0,None,,None,None,None,4,None,As new
84,,House,Exceptional,2300000,No,3,400,0,,None,,None,None,None,2,None,As new
85,,House,Exceptional,2350000,No,5,485,0,0,None,,None,None,None,2,None,As new
86,,House,Exceptional,2450000,No,8,730,0,,None,1,None,None,None,4,None,As new
87,,House,Exceptional,2750000,No,6,668,0,0,None,,None,None,None,2,None,As new
88,,House,Exceptional,1300000,Yes,6,570,1,0,None,,None,None,None,2,None,As new
89,,House,Exceptional,1650000,No,8,2274,0,0,None,,None,None,None,4,None,To be done up
90,regio Aalst + deelgemeenten,House,Exceptional,749000,No,3,221,0,,None,1,None,None,None,2,None,As new
91,,House,Exceptional,590000,No,6,400,1,0,None,,None,None,None,,None,To renovate
92,,House,Exceptional,275000,No,4,311,1,,None,,None,None,None,3,None,Good
93,,House,Exceptional,495000,No,6,252,0,0,None,,None,None,None,4,None,Good
94,,House,Exceptional,495000,,4,235,0,,None,,None,None,None,4,None,As new
95,,House,Exceptional,690000,No,3,230,0,0,None,,None,None,None,4,None,Good
96,,House,Exceptional,895000,Yes,5,200,1,1,None,,None,None,None,2,None,As new
97,,House,Exceptional,1050000,No,6,470,1,0,None,,None,None,None,4,None,Just renovated
98,,House,Exceptional,550000 + 5800 per month,Yes,6,570,1,0,None,,None,None,None,2,None,As new
99,,House,Exceptional,675000,No,4,300,0,,None,,None,None,None,,None,
100,,House,Exceptional,Starting price : 950000,No,5,392,1,,None,1,None,None,None,4,None,Good
101,,House,Exceptional,399000,No,4,291,1,0,None,1,None,None,None,,None,As new
102,,House,Exceptional,529000,No,3,247,1,,None,,None,None,None,2,None,Good
103,,House,Exceptional,630000,No,7,600,0,0,None,1,None,None,None,4,None,To renovate
104,,House,Exceptional,645000,No,4,240,1,0,None,1,None,None,None,4,None,Good
105,,House,Exceptional,649000,No,4,426,0,0,None,1,None,None,None,3,None,Good
106,,House,Exceptional,649000,No,4,426,0,0,None,1,None,None,None,3,None,Good
107,,House,Exceptional,Starting price : 990000,No,3,355,1,,None,1,None,None,None,4,None,As new
108,,House,Exceptional,1150000,Yes,16,700,0,,None,,None,None,None,,None,As new
109,,House,Exceptional,325000,No,4,244,0,0,None,,None,None,None,3,None,To be done up
110,Centre,House,Exceptional,2999000,,11,700,0,,None,,None,None,None,4,None,Good
111,,House,Exceptional,539000,No,4,480,0,,None,,None,None,None,4,None,To renovate
112,,House,Exceptional,1350000,No,12,553,0,,None,,None,None,None,2,None,Good
113,,House,Exceptional,425000,No,2,267,0,,None,,None,None,None,,None,As new
114,,House,Exceptional,849000,No,4,305,0,0,None,1,None,None,None,4,None,As new
