,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
117,,House,Bungalow,310000,No,3,None,1,0,None,1,None,None,None,4,None,Good
118,Grand Liège,House,Bungalow,275000,No,2,None,0,0,None,1,None,None,None,3,None,Good
119,,House,Bungalow,280000,No,4,None,0,0,None,,None,None,None,4,None,To be done up
120,,House,Bungalow,395000,No,3,None,0,0,None,1,None,None,None,3,None,Good
121,Brabant Wallon,House,Bungalow,419000,No,3,None,0,,None,1,None,None,None,4,None,To renovate
122,,House,Bungalow,445000,No,2,None,1,0,None,,None,None,None,4,None,Good
123,,House,Bungalow,389000,No,2,None,0,0,None,,None,None,None,4,None,Just renovated
124,,House,Bungalow,199000,No,1,None,1,,None,,None,None,None,3,None,
125,,House,Bungalow,200000,No,1,None,0,0,None,,None,None,None,4,None,
126,,House,Bungalow,295000,No,3,None,1,0,None,,None,None,None,4,None,To renovate
127,,House,Bungalow,495000,No,2,None,0,,None,,None,None,None,4,None,To be done up
128,Aalst,House,Bungalow,299000,No,3,None,1,,None,1,None,None,None,4,None,
129,Aalst,House,Bungalow,299000,No,3,None,1,,None,1,None,None,None,4,None,
130,,House,Bungalow,69000,No,1,None,0,0,None,1,None,None,None,4,None,
131,,House,Bungalow,420000,No,3,None,0,0,None,1,None,None,None,4,None,To be done up
132,,House,Bungalow,315000,No,3,None,1,0,None,1,None,None,None,4,None,Good
133,,,,None,,,None,0,,None,,None,None,None,,None,
134,,House,Bungalow,249000,No,2,None,1,,None,,None,None,None,3,None,To be done up
135,,House,Bungalow,194000,No,2,None,0,0,None,,None,None,None,4,None,
136,,House,Bungalow,180000 + 1350 per month,No,3,None,1,0,None,,None,None,None,4,None,
137,,House,Bungalow,245000,No,2,None,0,0,None,,None,None,None,4,None,To renovate
138,,House,Bungalow,315000,No,2,None,0,0,None,,None,None,None,,None,
